Date,Open,High,Low,Close,Volume,Close_time,Asset_volume,Trade_number,Taker_buy_base,Taker_buy_quote
2020-08-14 13:15:00,11729.26000000,11748.00000000,11710.83000000,11712.46000000,584.35675900,2020-08-14 13:15:00,6856896.87423242,8729,208.42977400,2445744.70865020
2020-08-14 13:30:00,11712.47000000,11738.24000000,11699.83000000,11732.77000000,453.86608600,2020-08-14 13:30:00,5318701.39042585,9322,217.49022100,2548809.65124528
2020-08-14 13:45:00,11732.77000000,11774.99000000,11731.83000000,11760.81000000,726.85002700,2020-08-14 13:45:00,8544105.39791778,12071,366.77355400,4311227.48212350
2020-08-14 14:00:00,11760.81000000,11762.32000000,11721.44000000,11729.96000000,549.70193800,2020-08-14 14:00:00,6450682.07343810,10481,278.99582100,3273695.96673869
2020-08-14 14:15:00,11729.95000000,11739.71000000,11713.11000000,11726.17000000,557.18407600,2020-08-14 14:15:00,6532855.67358087,9562,262.20972300,3074613.09577341
2020-08-14 14:30:00,11726.06000000,11757.95000000,11717.63000000,11751.62000000,583.20003800,2020-08-14 14:30:00,6847060.27017024,9786,254.31765700,2985474.60367951
2020-08-14 14:45:00,11751.36000000,11754.85000000,11728.40000000,11739.00000000,530.66281900,2020-08-14 14:45:00,6229527.64884097,10803,250.23040500,2937401.32461674
2020-08-14 15:00:00,11739.00000000,11739.47000000,11673.92000000,11690.00000000,1100.67108600,2020-08-14 15:00:00,12875523.79694618,23060,485.81368700,5682603.84117194
2020-08-14 15:15:00,11690.00000000,11707.92000000,11687.96000000,11692.56000000,657.63983100,2020-08-14 15:15:00,7693795.76619873,10492,380.22499800,4448391.09004055
2020-08-14 15:30:00,11692.56000000,11700.01000000,11666.13000000,11681.17000000,695.83374300,2020-08-14 15:30:00,8128435.07403073,11654,314.63193300,3675643.52382412
2020-08-14 15:45:00,11681.18000000,11714.10000000,11670.16000000,11714.02000000,607.33050300,2020-08-14 15:45:00,7103278.06077076,10156,237.73355900,2780367.77413100
2020-08-14 16:00:00,11714.01000000,11714.01000000,11651.09000000,11661.39000000,801.22545300,2020-08-14 16:00:00,9361037.97661456,13318,330.10660200,3855987.24723642
2020-08-14 16:15:00,11661.39000000,11688.79000000,11635.02000000,11677.96000000,666.04286300,2020-08-14 16:15:00,7773349.51712306,11641,277.81053300,3242256.11767066
2020-08-14 16:30:00,11677.95000000,11694.98000000,11672.93000000,11688.03000000,438.84167000,2020-08-14 16:30:00,5129407.11836259,8429,200.27108800,2340698.09995617
2020-08-14 16:45:00,11688.04000000,11710.10000000,11688.03000000,11706.71000000,743.59652600,2020-08-14 16:45:00,8701568.83848703,9637,337.33551100,3947564.21682514
2020-08-14 17:00:00,11706.73000000,11708.12000000,11652.27000000,11677.23000000,814.11182700,2020-08-14 17:00:00,9507571.66630305,12307,361.77117800,4224719.53188959
2020-08-14 17:15:00,11677.23000000,11696.29000000,11670.01000000,11695.41000000,496.91624700,2020-08-14 17:15:00,5808107.76345847,9128,193.66278000,2263628.13793836
2020-08-14 17:30:00,11695.75000000,11702.83000000,11686.40000000,11689.52000000,509.40491600,2020-08-14 17:30:00,5957313.04027695,8832,203.53996800,2380235.22079739
2020-08-14 17:45:00,11689.52000000,11748.78000000,11687.65000000,11740.35000000,1194.94506400,2020-08-14 17:45:00,14007012.24328154,16181,643.57772200,7542716.62847243
2020-08-14 18:00:00,11740.35000000,11771.08000000,11706.43000000,11771.07000000,1200.87850100,2020-08-14 18:00:00,14106368.40107157,16148,566.75731400,6658718.22652118
2020-08-14 18:15:00,11771.07000000,11845.00000000,11766.28000000,11839.73000000,2189.79572700,2020-08-14 18:15:00,25864002.76727197,24796,1193.16722100,14092777.29457095
2020-08-14 18:30:00,11839.86000000,11850.00000000,11813.02000000,11824.65000000,1196.41042400,2020-08-14 18:30:00,14157878.94834021,19421,567.71412100,6718651.97928169
2020-08-14 18:45:00,11824.65000000,11837.41000000,11791.99000000,11809.85000000,948.95657400,2020-08-14 18:45:00,11206971.20911578,13813,389.88645200,4604390.95766271
2020-08-14 19:00:00,11809.36000000,11817.23000000,11773.84000000,11800.71000000,746.90669500,2020-08-14 19:00:00,8809871.18628904,13750,359.83049500,4244701.43654281
2020-08-14 19:15:00,11800.71000000,11824.98000000,11798.89000000,11807.01000000,629.06907400,2020-08-14 19:15:00,7430608.09795026,10291,315.53123400,3727037.60825912
